Member_number,Date,itemDescription,year,month,day,day_of_week,first,second,third,fourth,Item
3025,21-04-2015,herbs,2015,4,21,1,herbs,,,,
4592,13-07-2015,chewing gum,2015,7,13,0,chewing,gum,,,chewinggum
4463,11-03-2015,whole milk,2015,3,11,2,whole,milk,,,wholemilk
2916,13-06-2015,whole milk,2015,6,13,5,whole,milk,,,wholemilk
1838,25-03-2015,hard cheese,2015,3,25,2,hard,cheese,,,hardcheese
1126,17-05-2015,napkins,2015,5,17,6,napkins,,,,
2800,10-02-2015,soda,2015,2,10,1,soda,,,,
4485,25-07-2015,curd,2015,7,25,5,curd,,,,
3262,07-08-2015,soda,2015,8,7,4,soda,,,,
4030,22-12-2015,bottled water,2015,12,22,1,bottled,water,,,bottledwater
3370,02-03-2015,specialty chocolate,2015,3,2,0,specialty,chocolate,,,specialtychocolate
3489,09-01-2015,specialty chocolate,2015,1,9,4,specialty,chocolate,,,specialtychocolate
2386,01-03-2015,pastry,2015,3,1,6,pastry,,,,
3774,16-02-2015,whole milk,2015,2,16,0,whole,milk,,,wholemilk
3818,13-05-2015,yogurt,2015,5,13,2,yogurt,,,,
3434,06-10-2015,shopping bags,2015,10,6,1,shopping,bags,,,shoppingbags
3438,27-12-2015,root vegetables,2015,12,27,6,root,vegetables,,,rootvegetables
1140,05-01-2015,curd,2015,1,5,0,curd,,,,
1051,10-12-2015,popcorn,2015,12,10,3,popcorn,,,,
3071,26-03-2015,brown bread,2015,3,26,3,brown,bread,,,brownbread
3872,28-03-2015,soda,2015,3,28,5,soda,,,,
4215,30-06-2015,whole milk,2015,6,30,1,whole,milk,,,wholemilk
3806,15-03-2015,curd,2015,3,15,6,curd,,,,
1869,16-05-2015,chewing gum,2015,5,16,5,chewing,gum,,,chewinggum
1668,05-05-2015,pastry,2015,5,5,1,pastry,,,,
1163,14-12-2015,newspapers,2015,12,14,0,newspapers,,,,
1664,10-01-2014,misc. beverages,2014,1,10,4,misc.,beverages,,,misc.beverages
3942,16-12-2014,flour,2014,12,16,1,flour,,,,
2638,10-10-2014,photo/film,2014,10,10,4,photo/film,,,,
4735,10-10-2014,hamburger meat,2014,10,10,4,hamburger,meat,,,hamburgermeat
3745,12-09-2014,pickled vegetables,2014,9,12,4,pickled,vegetables,,,pickledvegetables
1817,15-11-2014,whole milk,2014,11,15,5,whole,milk,,,wholemilk
2864,16-10-2014,other vegetables,2014,10,16,3,other,vegetables,,,othervegetables
1748,14-08-2014,bottled water,2014,8,14,3,bottled,water,,,bottledwater
3360,30-08-2014,butter milk,2014,8,30,5,butter,milk,,,buttermilk
1849,10-06-2014,butter,2014,6,10,1,butter,,,,
3438,06-11-2014,white wine,2014,11,6,3,white,wine,,,whitewine
4594,28-05-2014,soda,2014,5,28,2,soda,,,,
1632,16-02-2014,shopping bags,2014,2,16,6,shopping,bags,,,shoppingbags
4297,29-08-2014,whole milk,2014,8,29,4,whole,milk,,,wholemilk
4539,14-04-2014,other vegetables,2014,4,14,0,other,vegetables,,,othervegetables
4762,25-06-2014,onions,2014,6,25,2,onions,,,,
4153,14-02-2014,long life bakery product,2014,2,14,4,long,life,bakery,product,longlife
1500,20-06-2014,chocolate,2014,6,20,4,chocolate,,,,
1895,22-07-2014,bottled water,2014,7,22,1,bottled,water,,,bottledwater
1466,02-03-2014,chewing gum,2014,3,2,6,chewing,gum,,,chewinggum
2233,24-04-2014,other vegetables,2014,4,24,3,other,vegetables,,,othervegetables
3057,28-01-2014,pastry,2014,1,28,1,pastry,,,,
3308,21-08-2014,shopping bags,2014,8,21,3,shopping,bags,,,shoppingbags
3241,01-08-2014,whole milk,2014,8,1,4,whole,milk,,,wholemilk
1947,27-02-2014,other vegetables,2014,2,27,3,other,vegetables,,,othervegetables
2589,10-04-2014,shopping bags,2014,4,10,3,shopping,bags,,,shoppingbags
3127,25-02-2014,root vegetables,2014,2,25,1,root,vegetables,,,rootvegetables
2138,13-05-2014,whole milk,2014,5,13,1,whole,milk,,,wholemilk
2495,31-01-2014,citrus fruit,2014,1,31,4,citrus,fruit,,,citrusfruit
3590,29-03-2014,whole milk,2014,3,29,5,whole,milk,,,wholemilk
4037,05-05-2014,tea,2014,5,5,0,tea,,,,
4968,03-04-2014,beef,2014,4,3,3,beef,,,,
1612,10-08-2014,soda,2014,8,10,6,soda,,,,
4741,12-10-2014,fruit/vegetable juice,2014,10,12,6,fruit/vegetable,juice,,,fruit/vegetablejuice
2899,01-08-2014,canned beer,2014,8,1,4,canned,beer,,,cannedbeer
4206,18-09-2014,mustard,2014,9,18,3,mustard,,,,
3705,17-08-2014,coffee,2014,8,17,6,coffee,,,,
2832,29-07-2014,meat spreads,2014,7,29,1,meat,spreads,,,meatspreads
4054,10-05-2014,whipped/sour cream,2014,5,10,5,whipped/sour,cream,,,whipped/sourcream
1595,17-07-2014,rolls/buns,2014,7,17,3,rolls/buns,,,,
4821,09-02-2014,grapes,2014,2,9,6,grapes,,,,
1336,23-01-2014,domestic eggs,2014,1,23,3,domestic,eggs,,,domesticeggs
2446,19-01-2014,margarine,2014,1,19,6,margarine,,,,
1033,21-04-2014,snack products,2014,4,21,0,snack,products,,,snackproducts
1447,06-05-2014,other vegetables,2014,5,6,1,other,vegetables,,,othervegetables
1185,14-08-2014,whole milk,2014,8,14,3,whole,milk,,,wholemilk
1410,01-06-2014,dishes,2014,6,1,6,dishes,,,,
4588,28-07-2014,flour,2014,7,28,0,flour,,,,
2732,31-01-2014,berries,2014,1,31,4,berries,,,,
1473,10-10-2014,whipped/sour cream,2014,10,10,4,whipped/sour,cream,,,whipped/sourcream
2029,21-10-2014,ice cream,2014,10,21,1,ice,cream,,,icecream
2799,31-07-2014,butter,2014,7,31,3,butter,,,,
4579,19-01-2014,candles,2014,1,19,6,candles,,,,
1041,13-06-2014,frozen vegetables,2014,6,13,4,frozen,vegetables,,,frozenvegetables
1877,30-09-2014,shopping bags,2014,9,30,1,shopping,bags,,,shoppingbags
4191,14-03-2014,margarine,2014,3,14,4,margarine,,,,
3649,11-07-2014,soda,2014,7,11,4,soda,,,,
2706,24-02-2014,whipped/sour cream,2014,2,24,0,whipped/sour,cream,,,whipped/sourcream
3821,26-02-2014,condensed milk,2014,2,26,2,condensed,milk,,,condensedmilk
3917,14-02-2014,whipped/sour cream,2014,2,14,4,whipped/sour,cream,,,whipped/sourcream
4464,27-07-2014,chewing gum,2014,7,27,6,chewing,gum,,,chewinggum
1935,30-06-2014,frozen vegetables,2014,6,30,0,frozen,vegetables,,,frozenvegetables
1783,22-07-2014,candy,2014,7,22,1,candy,,,,
3817,23-08-2014,sugar,2014,8,23,5,sugar,,,,
4162,15-04-2014,brown bread,2014,4,15,1,brown,bread,,,brownbread
1653,18-07-2014,herbs,2014,7,18,4,herbs,,,,
1686,04-12-2014,whole milk,2014,12,4,3,whole,milk,,,wholemilk
2549,09-05-2014,tropical fruit,2014,5,9,4,tropical,fruit,,,tropicalfruit
1380,22-04-2014,canned vegetables,2014,4,22,1,canned,vegetables,,,cannedvegetables
3315,27-12-2014,chewing gum,2014,12,27,5,chewing,gum,,,chewinggum
4931,23-02-2014,coffee,2014,2,23,6,coffee,,,,
4849,14-04-2014,root vegetables,2014,4,14,0,root,vegetables,,,rootvegetables
2984,07-07-2014,pickled vegetables,2014,7,7,0,pickled,vegetables,,,pickledvegetables
1262,07-12-2014,frozen meals,2014,12,7,6,frozen,meals,,,frozenmeals
2561,27-11-2014,domestic eggs,2014,11,27,3,domestic,eggs,,,domesticeggs
2755,01-02-2014,fruit/vegetable juice,2014,2,1,5,fruit/vegetable,juice,,,fruit/vegetablejuice
1747,01-07-2014,margarine,2014,7,1,1,margarine,,,,
1913,31-08-2014,chocolate,2014,8,31,6,chocolate,,,,
3090,10-03-2014,domestic eggs,2014,3,10,0,domestic,eggs,,,domesticeggs
4369,27-10-2014,frozen dessert,2014,10,27,0,frozen,dessert,,,frozendessert
4872,20-10-2014,red/blush wine,2014,10,20,0,red/blush,wine,,,red/blushwine
3918,05-04-2014,waffles,2014,4,5,5,waffles,,,,
1758,21-09-2014,margarine,2014,9,21,6,margarine,,,,
2328,22-01-2014,grapes,2014,1,22,2,grapes,,,,
3570,06-05-2014,cake bar,2014,5,6,1,cake,bar,,,cakebar
4753,10-11-2014,rolls/buns,2014,11,10,0,rolls/buns,,,,
1815,12-04-2014,liquor,2014,4,12,5,liquor,,,,
4372,09-11-2014,waffles,2014,11,9,6,waffles,,,,
1287,07-08-2014,other vegetables,2014,8,7,3,other,vegetables,,,othervegetables
4938,01-05-2014,shopping bags,2014,5,1,3,shopping,bags,,,shoppingbags
4164,09-08-2014,whole milk,2014,8,9,5,whole,milk,,,wholemilk
4410,24-05-2014,candy,2014,5,24,5,candy,,,,
2609,06-04-2014,sliced cheese,2014,4,6,6,sliced,cheese,,,slicedcheese
2293,31-03-2014,candy,2014,3,31,0,candy,,,,
4049,07-06-2014,canned fish,2014,6,7,5,canned,fish,,,cannedfish
2240,10-02-2014,shopping bags,2014,2,10,0,shopping,bags,,,shoppingbags
3197,03-01-2014,margarine,2014,1,3,4,margarine,,,,
1223,09-05-2014,butter,2014,5,9,4,butter,,,,
2186,04-12-2014,soda,2014,12,4,3,soda,,,,
4137,15-12-2014,soda,2014,12,15,0,soda,,,,
3284,25-03-2014,misc. beverages,2014,3,25,1,misc.,beverages,,,misc.beverages
3190,13-04-2014,curd,2014,4,13,6,curd,,,,
3059,15-06-2014,cat food,2014,6,15,6,cat,food,,,catfood
2441,28-08-2014,shopping bags,2014,8,28,3,shopping,bags,,,shoppingbags
3645,22-08-2014,candy,2014,8,22,4,candy,,,,
2246,21-01-2014,soda,2014,1,21,1,soda,,,,
4431,06-12-2014,soda,2014,12,6,5,soda,,,,
3047,16-08-2014,soda,2014,8,16,5,soda,,,,
1866,29-08-2014,whole milk,2014,8,29,4,whole,milk,,,wholemilk
3138,13-10-2014,curd,2014,10,13,0,curd,,,,
2078,14-05-2014,shopping bags,2014,5,14,2,shopping,bags,,,shoppingbags
3142,05-06-2014,other vegetables,2014,6,5,3,other,vegetables,,,othervegetables
4262,06-03-2014,red/blush wine,2014,3,6,3,red/blush,wine,,,red/blushwine
4872,13-02-2014,bottled beer,2014,2,13,3,bottled,beer,,,bottledbeer
1985,18-05-2014,whole milk,2014,5,18,6,whole,milk,,,wholemilk
2458,20-11-2014,root vegetables,2014,11,20,3,root,vegetables,,,rootvegetables
2540,29-01-2014,bottled water,2014,1,29,2,bottled,water,,,bottledwater
3194,26-07-2014,canned beer,2014,7,26,5,canned,beer,,,cannedbeer
3071,18-04-2014,pastry,2014,4,18,4,pastry,,,,
4181,09-07-2014,detergent,2014,7,9,2,detergent,,,,
2033,29-11-2014,hamburger meat,2014,11,29,5,hamburger,meat,,,hamburgermeat
3306,12-11-2014,soda,2014,11,12,2,soda,,,,
1658,08-09-2014,soda,2014,9,8,0,soda,,,,
3884,10-12-2014,rolls/buns,2014,12,10,2,rolls/buns,,,,
1215,30-07-2014,root vegetables,2014,7,30,2,root,vegetables,,,rootvegetables
2477,30-09-2014,whole milk,2014,9,30,1,whole,milk,,,wholemilk
3971,02-04-2014,whole milk,2014,4,2,2,whole,milk,,,wholemilk
3644,20-02-2014,white wine,2014,2,20,3,white,wine,,,whitewine
1550,05-05-2014,cereals,2014,5,5,0,cereals,,,,
1625,09-02-2014,butter milk,2014,2,9,6,butter,milk,,,buttermilk
2472,02-01-2014,white bread,2014,1,2,3,white,bread,,,whitebread
2337,04-03-2014,whole milk,2014,3,4,1,whole,milk,,,wholemilk
4690,03-02-2014,butter,2014,2,3,0,butter,,,,
1748,26-08-2014,butter,2014,8,26,1,butter,,,,
4296,15-12-2014,chocolate,2014,12,15,0,chocolate,,,,
3529,26-08-2014,root vegetables,2014,8,26,1,root,vegetables,,,rootvegetables
3804,28-04-2014,rolls/buns,2014,4,28,0,rolls/buns,,,,
4107,10-05-2014,pastry,2014,5,10,5,pastry,,,,
3727,28-07-2014,soda,2014,7,28,0,soda,,,,
1492,20-12-2014,yogurt,2014,12,20,5,yogurt,,,,
4952,09-04-2014,yogurt,2014,4,9,2,yogurt,,,,
4641,05-11-2014,whole milk,2014,11,5,2,whole,milk,,,wholemilk
4716,18-05-2014,napkins,2014,5,18,6,napkins,,,,
3857,11-07-2014,other vegetables,2014,7,11,4,other,vegetables,,,othervegetables
4599,21-03-2014,other vegetables,2014,3,21,4,other,vegetables,,,othervegetables
2906,25-06-2014,cream cheese ,2014,6,25,2,cream,cheese,,,creamcheese
3552,27-01-2014,frozen meals,2014,1,27,0,frozen,meals,,,frozenmeals
4572,30-10-2014,rolls/buns,2014,10,30,3,rolls/buns,,,,
4345,19-03-2014,roll products ,2014,3,19,2,roll,products,,,rollproducts
1908,20-09-2014,bottled water,2014,9,20,5,bottled,water,,,bottledwater
4744,31-01-2014,other vegetables,2014,1,31,4,other,vegetables,,,othervegetables
2064,18-03-2014,oil,2014,3,18,1,oil,,,,
1726,04-05-2014,whole milk,2014,5,4,6,whole,milk,,,wholemilk
2383,25-05-2014,condensed milk,2014,5,25,6,condensed,milk,,,condensedmilk
4245,15-07-2014,whole milk,2014,7,15,1,whole,milk,,,wholemilk
1013,20-02-2014,candy,2014,2,20,3,candy,,,,
2676,01-10-2014,candy,2014,10,1,2,candy,,,,
4155,09-03-2014,curd,2014,3,9,6,curd,,,,
1365,23-08-2014,frozen fruits,2014,8,23,5,frozen,fruits,,,frozenfruits
4917,30-05-2014,rolls/buns,2014,5,30,4,rolls/buns,,,,
4686,27-06-2014,rolls/buns,2014,6,27,4,rolls/buns,,,,
4842,23-05-2014,frozen vegetables,2014,5,23,4,frozen,vegetables,,,frozenvegetables
3673,08-11-2014,cream cheese ,2014,11,8,5,cream,cheese,,,creamcheese
4214,10-03-2014,cake bar,2014,3,10,0,cake,bar,,,cakebar
3952,27-07-2014,abrasive cleaner,2014,7,27,6,abrasive,cleaner,,,abrasivecleaner
3972,04-03-2014,uht-milk,2014,3,4,1,uht-milk,,,,
3790,31-07-2014,whole milk,2014,7,31,3,whole,milk,,,wholemilk
3042,04-04-2014,other vegetables,2014,4,4,4,other,vegetables,,,othervegetables
2567,22-07-2014,bottled beer,2014,7,22,1,bottled,beer,,,bottledbeer
3830,28-07-2014,yogurt,2014,7,28,0,yogurt,,,,
2515,27-01-2014,tropical fruit,2014,1,27,0,tropical,fruit,,,tropicalfruit
2545,14-01-2014,onions,2014,1,14,1,onions,,,,
1006,04-09-2014,rice,2014,9,4,3,rice,,,,
2590,09-03-2014,soda,2014,3,9,6,soda,,,,
1757,30-03-2014,whole milk,2014,3,30,6,whole,milk,,,wholemilk
2352,27-03-2014,misc. beverages,2014,3,27,3,misc.,beverages,,,misc.beverages
1136,28-09-2014,other vegetables,2014,9,28,6,other,vegetables,,,othervegetables
3123,07-08-2014,soda,2014,8,7,3,soda,,,,
3224,08-06-2014,cream cheese ,2014,6,8,6,cream,cheese,,,creamcheese
4642,17-12-2014,domestic eggs,2014,12,17,2,domestic,eggs,,,domesticeggs
2380,04-05-2014,pastry,2014,5,4,6,pastry,,,,
4029,27-10-2014,soda,2014,10,27,0,soda,,,,
1103,07-12-2014,herbs,2014,12,7,6,herbs,,,,
4655,14-11-2014,oil,2014,11,14,4,oil,,,,
1773,28-10-2014,whipped/sour cream,2014,10,28,1,whipped/sour,cream,,,whipped/sourcream
4645,11-10-2014,baking powder,2014,10,11,5,baking,powder,,,bakingpowder
1468,10-02-2014,frozen dessert,2014,2,10,0,frozen,dessert,,,frozendessert
4383,12-02-2014,whole milk,2014,2,12,2,whole,milk,,,wholemilk
3279,03-07-2014,packaged fruit/vegetables,2014,7,3,3,packaged,fruit/vegetables,,,packagedfruit/vegetables
3025,19-01-2014,cat food,2014,1,19,6,cat,food,,,catfood
2969,13-04-2014,processed cheese,2014,4,13,6,processed,cheese,,,processedcheese
1767,06-02-2014,uht-milk,2014,2,6,3,uht-milk,,,,
2830,21-09-2014,bottled beer,2014,9,21,6,bottled,beer,,,bottledbeer
3556,04-02-2014,margarine,2014,2,4,1,margarine,,,,
1104,05-09-2014,root vegetables,2014,9,5,4,root,vegetables,,,rootvegetables
1740,21-11-2014,curd cheese,2014,11,21,4,curd,cheese,,,curdcheese
1844,18-09-2014,pastry,2014,9,18,3,pastry,,,,
2544,06-09-2014,soda,2014,9,6,5,soda,,,,
3655,05-10-2014,butter milk,2014,10,5,6,butter,milk,,,buttermilk
4947,28-01-2014,dessert,2014,1,28,1,dessert,,,,
4002,24-08-2014,butter milk,2014,8,24,6,butter,milk,,,buttermilk
4951,15-08-2014,pastry,2014,8,15,4,pastry,,,,
3309,06-06-2014,domestic eggs,2014,6,6,4,domestic,eggs,,,domesticeggs
2289,07-03-2014,rolls/buns,2014,3,7,4,rolls/buns,,,,
2120,07-06-2014,yogurt,2014,6,7,5,yogurt,,,,
4679,13-06-2014,white wine,2014,6,13,4,white,wine,,,whitewine
3220,15-03-2014,other vegetables,2014,3,15,5,other,vegetables,,,othervegetables
2146,30-05-2014,bottled water,2014,5,30,4,bottled,water,,,bottledwater
1851,02-12-2014,root vegetables,2014,12,2,1,root,vegetables,,,rootvegetables
1889,08-03-2014,sweet spreads,2014,3,8,5,sweet,spreads,,,sweetspreads
2789,11-02-2014,curd,2014,2,11,1,curd,,,,
2611,29-12-2014,bottled water,2014,12,29,0,bottled,water,,,bottledwater
1309,23-12-2014,butter,2014,12,23,1,butter,,,,
2259,16-06-2014,domestic eggs,2014,6,16,0,domestic,eggs,,,domesticeggs
2540,16-12-2014,canned beer,2014,12,16,1,canned,beer,,,cannedbeer
3539,13-01-2014,bottled beer,2014,1,13,0,bottled,beer,,,bottledbeer
4149,05-12-2014,dessert,2014,12,5,4,dessert,,,,
3847,06-08-2014,uht-milk,2014,8,6,2,uht-milk,,,,
4285,13-04-2014,domestic eggs,2014,4,13,6,domestic,eggs,,,domesticeggs
1445,13-04-2014,bottled water,2014,4,13,6,bottled,water,,,bottledwater
2701,05-03-2014,spread cheese,2014,3,5,2,spread,cheese,,,spreadcheese
1602,29-05-2014,fruit/vegetable juice,2014,5,29,3,fruit/vegetable,juice,,,fruit/vegetablejuice
1590,06-01-2014,newspapers,2014,1,6,0,newspapers,,,,
3704,08-02-2014,candy,2014,2,8,5,candy,,,,
4035,14-07-2014,butter,2014,7,14,0,butter,,,,
4861,23-03-2014,other vegetables,2014,3,23,6,other,vegetables,,,othervegetables
3757,07-08-2014,frozen vegetables,2014,8,7,3,frozen,vegetables,,,frozenvegetables
4743,07-07-2014,coffee,2014,7,7,0,coffee,,,,
4527,16-03-2014,domestic eggs,2014,3,16,6,domestic,eggs,,,domesticeggs
2756,14-05-2014,canned fish,2014,5,14,2,canned,fish,,,cannedfish
1432,18-02-2014,pip fruit,2014,2,18,1,pip,fruit,,,pipfruit
3089,20-08-2014,house keeping products,2014,8,20,2,house,keeping,products,,housekeeping
4614,25-12-2014,sugar,2014,12,25,3,sugar,,,,
4255,01-02-2014,margarine,2014,2,1,5,margarine,,,,
3426,05-02-2014,pip fruit,2014,2,5,2,pip,fruit,,,pipfruit
3343,08-03-2014,salty snack,2014,3,8,5,salty,snack,,,saltysnack
3550,18-12-2014,waffles,2014,12,18,3,waffles,,,,
4785,14-08-2014,hard cheese,2014,8,14,3,hard,cheese,,,hardcheese
3137,09-11-2014,newspapers,2014,11,9,6,newspapers,,,,
4645,13-12-2014,brown bread,2014,12,13,5,brown,bread,,,brownbread
1369,05-05-2014,whole milk,2014,5,5,0,whole,milk,,,wholemilk
3684,02-06-2014,other vegetables,2014,6,2,0,other,vegetables,,,othervegetables
4423,25-02-2014,brown bread,2014,2,25,1,brown,bread,,,brownbread
3561,26-05-2014,brown bread,2014,5,26,0,brown,bread,,,brownbread
2625,14-12-2014,specialty chocolate,2014,12,14,6,specialty,chocolate,,,specialtychocolate
1218,05-08-2014,citrus fruit,2014,8,5,1,citrus,fruit,,,citrusfruit
2120,07-07-2014,whole milk,2014,7,7,0,whole,milk,,,wholemilk
2332,14-05-2014,other vegetables,2014,5,14,2,other,vegetables,,,othervegetables
2269,01-05-2014,sliced cheese,2014,5,1,3,sliced,cheese,,,slicedcheese
2607,20-11-2014,ice cream,2014,11,20,3,ice,cream,,,icecream
4866,16-09-2014,other vegetables,2014,9,16,1,other,vegetables,,,othervegetables
2723,27-10-2014,rolls/buns,2014,10,27,0,rolls/buns,,,,
3660,19-05-2014,pip fruit,2014,5,19,0,pip,fruit,,,pipfruit
2407,01-08-2014,root vegetables,2014,8,1,4,root,vegetables,,,rootvegetables
3670,08-04-2014,rolls/buns,2014,4,8,1,rolls/buns,,,,
3743,07-03-2014,butter,2014,3,7,4,butter,,,,
3598,13-03-2014,whipped/sour cream,2014,3,13,3,whipped/sour,cream,,,whipped/sourcream
3882,18-07-2014,pastry,2014,7,18,4,pastry,,,,
1175,01-02-2014,other vegetables,2014,2,1,5,other,vegetables,,,othervegetables
2913,14-12-2014,house keeping products,2014,12,14,6,house,keeping,products,,housekeeping
1087,26-02-2014,beverages,2014,2,26,2,beverages,,,,
2075,05-06-2014,soda,2014,6,5,3,soda,,,,
3034,26-12-2014,pastry,2014,12,26,4,pastry,,,,
4820,28-10-2014,baking powder,2014,10,28,1,baking,powder,,,bakingpowder
1651,20-08-2014,canned vegetables,2014,8,20,2,canned,vegetables,,,cannedvegetables
3625,17-10-2014,whole milk,2014,10,17,4,whole,milk,,,wholemilk
3487,25-03-2014,onions,2014,3,25,1,onions,,,,
1729,20-03-2014,whipped/sour cream,2014,3,20,3,whipped/sour,cream,,,whipped/sourcream
2803,07-03-2014,canned beer,2014,3,7,4,canned,beer,,,cannedbeer
3692,19-10-2014,bottled beer,2014,10,19,6,bottled,beer,,,bottledbeer
1649,29-07-2014,condensed milk,2014,7,29,1,condensed,milk,,,condensedmilk
4015,17-02-2014,bottled beer,2014,2,17,0,bottled,beer,,,bottledbeer
4427,03-12-2014,pet care,2014,12,3,2,pet,care,,,petcare
4021,31-10-2014,other vegetables,2014,10,31,4,other,vegetables,,,othervegetables
1737,28-08-2014,detergent,2014,8,28,3,detergent,,,,
2320,02-05-2014,whole milk,2014,5,2,4,whole,milk,,,wholemilk
4725,31-08-2014,soft cheese,2014,8,31,6,soft,cheese,,,softcheese
1697,22-01-2014,butter,2014,1,22,2,butter,,,,
2341,17-04-2014,uht-milk,2014,4,17,3,uht-milk,,,,
1180,24-08-2014,white bread,2014,8,24,6,white,bread,,,whitebread
3226,26-02-2014,yogurt,2014,2,26,2,yogurt,,,,
4288,24-09-2014,canned beer,2014,9,24,2,canned,beer,,,cannedbeer
2181,29-04-2014,uht-milk,2014,4,29,1,uht-milk,,,,
2517,05-12-2014,spread cheese,2014,12,5,4,spread,cheese,,,spreadcheese
2909,18-01-2014,whole milk,2014,1,18,5,whole,milk,,,wholemilk
4312,04-02-2014,cocoa drinks,2014,2,4,1,cocoa,drinks,,,cocoadrinks
4965,23-12-2014,whole milk,2014,12,23,1,whole,milk,,,wholemilk
1224,20-09-2014,specialty chocolate,2014,9,20,5,specialty,chocolate,,,specialtychocolate
3135,21-06-2014,rice,2014,6,21,5,rice,,,,
1914,28-11-2014,dessert,2014,11,28,4,dessert,,,,
3589,09-07-2014,pastry,2014,7,9,2,pastry,,,,
4274,31-03-2014,pip fruit,2014,3,31,0,pip,fruit,,,pipfruit
3395,17-03-2014,rolls/buns,2014,3,17,0,rolls/buns,,,,
4086,15-11-2014,salty snack,2014,11,15,5,salty,snack,,,saltysnack
1033,03-02-2014,pastry,2014,2,3,0,pastry,,,,
2398,23-07-2014,coffee,2014,7,23,2,coffee,,,,
3782,16-09-2014,newspapers,2014,9,16,1,newspapers,,,,
3109,09-11-2014,specialty bar,2014,11,9,6,specialty,bar,,,specialtybar
2028,22-08-2014,salt,2014,8,22,4,salt,,,,
4963,03-03-2014,tropical fruit,2014,3,3,0,tropical,fruit,,,tropicalfruit
1043,14-03-2014,sliced cheese,2014,3,14,4,sliced,cheese,,,slicedcheese
4303,24-10-2014,butter,2014,10,24,4,butter,,,,
3282,28-08-2014,margarine,2014,8,28,3,margarine,,,,
3220,13-12-2014,other vegetables,2014,12,13,5,other,vegetables,,,othervegetables
3297,30-03-2014,yogurt,2014,3,30,6,yogurt,,,,
2153,14-12-2014,chewing gum,2014,12,14,6,chewing,gum,,,chewinggum
1065,25-12-2014,frozen fish,2014,12,25,3,frozen,fish,,,frozenfish
1126,11-02-2014,whipped/sour cream,2014,2,11,1,whipped/sour,cream,,,whipped/sourcream
1399,02-06-2014,other vegetables,2014,6,2,0,other,vegetables,,,othervegetables
2602,01-03-2014,whole milk,2014,3,1,5,whole,milk,,,wholemilk
2478,09-02-2014,soda,2014,2,9,6,soda,,,,
2645,08-07-2014,yogurt,2014,7,8,1,yogurt,,,,
3109,14-10-2014,canned beer,2014,10,14,1,canned,beer,,,cannedbeer
3268,31-01-2014,dish cleaner,2014,1,31,4,dish,cleaner,,,dishcleaner
2556,03-06-2014,other vegetables,2014,6,3,1,other,vegetables,,,othervegetables
3139,11-06-2014,white bread,2014,6,11,2,white,bread,,,whitebread
2971,07-12-2014,fruit/vegetable juice,2014,12,7,6,fruit/vegetable,juice,,,fruit/vegetablejuice
4391,06-04-2014,citrus fruit,2014,4,6,6,citrus,fruit,,,citrusfruit
3322,08-01-2014,soda,2014,1,8,2,soda,,,,
1740,07-08-2014,soda,2014,8,7,3,soda,,,,
3367,27-02-2014,long life bakery product,2014,2,27,3,long,life,bakery,product,longlife
3616,06-11-2014,rolls/buns,2014,11,6,3,rolls/buns,,,,
3736,16-02-2014,liquor (appetizer),2014,2,16,6,liquor,(appetizer),,,liquor(appetizer)
1795,20-05-2014,dessert,2014,5,20,1,dessert,,,,
2702,09-08-2014,other vegetables,2014,8,9,5,other,vegetables,,,othervegetables
4397,28-08-2014,shopping bags,2014,8,28,3,shopping,bags,,,shoppingbags
2649,18-02-2014,hard cheese,2014,2,18,1,hard,cheese,,,hardcheese
4752,03-04-2014,whipped/sour cream,2014,4,3,3,whipped/sour,cream,,,whipped/sourcream
2028,26-10-2014,specialty bar,2014,10,26,6,specialty,bar,,,specialtybar
1128,05-10-2014,white bread,2014,10,5,6,white,bread,,,whitebread
1199,23-03-2014,rolls/buns,2014,3,23,6,rolls/buns,,,,
4986,02-08-2014,chewing gum,2014,8,2,5,chewing,gum,,,chewinggum
3102,05-09-2014,white bread,2014,9,5,4,white,bread,,,whitebread
2079,11-04-2014,soda,2014,4,11,4,soda,,,,
1931,13-03-2014,chocolate,2014,3,13,3,chocolate,,,,
1176,09-04-2014,whole milk,2014,4,9,2,whole,milk,,,wholemilk
3562,09-11-2014,white wine,2014,11,9,6,white,wine,,,whitewine
1962,14-06-2014,soda,2014,6,14,5,soda,,,,
1782,04-10-2014,onions,2014,10,4,5,onions,,,,
3493,12-01-2014,candy,2014,1,12,6,candy,,,,
4268,14-10-2014,yogurt,2014,10,14,1,yogurt,,,,
3730,17-04-2014,sliced cheese,2014,4,17,3,sliced,cheese,,,slicedcheese
1144,11-07-2014,domestic eggs,2014,7,11,4,domestic,eggs,,,domesticeggs
4637,12-06-2014,butter milk,2014,6,12,3,butter,milk,,,buttermilk
1855,26-09-2014,salty snack,2014,9,26,4,salty,snack,,,saltysnack
3022,16-02-2014,rolls/buns,2014,2,16,6,rolls/buns,,,,
3960,23-01-2014,frozen potato products,2014,1,23,3,frozen,potato,products,,frozenpotato
2786,30-08-2014,specialty chocolate,2014,8,30,5,specialty,chocolate,,,specialtychocolate
2550,06-11-2014,pip fruit,2014,11,6,3,pip,fruit,,,pipfruit
1141,04-08-2014,yogurt,2014,8,4,0,yogurt,,,,
3226,25-10-2014,long life bakery product,2014,10,25,5,long,life,bakery,product,longlife
